ISOYEAR,country_name,ISO_code,dyear,total_funding,,,,
AFG2008,Afghanistan,AFG,2008,3241418,,,,
AFG2009,Afghanistan,AFG,2009,5158552,,,,
AFG2010,Afghanistan,AFG,2010,4437825,,,,
AFG2011,Afghanistan,AFG,2011,8002073.55,,,,
AFG2012,Afghanistan,AFG,2012,9052547,,,,
AFG2013,Afghanistan,AFG,2013,5312479,,,,
AFG2014,Afghanistan,AFG,2014,4181138,,,,
AFG2015,Afghanistan,AFG,2015,0,,,,
ALB2005,Albania,ALB,2005,2376957,,,,
DZA2006,Algeria,DZA,2006,3673849.625,,,,
DZA2008,Algeria,DZA,2008,3802015.863,,,,
DZA2009,Algeria,DZA,2009,2726734,,,,
DZA2010,Algeria,DZA,2010,5840187.542,,,,
DZA2011,Algeria,DZA,2011,6314132.619,,,,
DZA2012,Algeria,DZA,2012,6773706.897,,,,
DZA2013,Algeria,DZA,2013,12456208.14,,,,
DZA2014,Algeria,DZA,2014,17268653.65,,,,
AGO2006,Angola,AGO,2006,27724126.85,,,,
AGO2007,Angola,AGO,2007,47493993,,,,
AGO2008,Angola,AGO,2008,31765941,,,,
AGO2009,Angola,AGO,2009,34699646.99,,,,
AGO2010,Angola,AGO,2010,34338192.34,,,,
AGO2011,Angola,AGO,2011,33893239.22,,,,
AGO2016,Angola,AGO,2016,19767460.15,,,,
ATG2006,Antigua and Barbuda,ATG,2006,157323.7305,,,,
ATG2007,Antigua and Barbuda,ATG,2007,159827.5,,,,
ATG2008,Antigua and Barbuda,ATG,2008,329358.8778,,,,
ATG2009,Antigua and Barbuda,ATG,2009,390760.3963,,,,
ATG2010,Antigua and Barbuda,ATG,2010,1376617.69,,,,
ATG2011,Antigua and Barbuda,ATG,2011,617262.4502,,,,
ATG2012,Antigua and Barbuda,ATG,2012,987160.7407,,,,
ATG2013,Antigua and Barbuda,ATG,2013,1423132.26,,,,
ATG2015,Antigua and Barbuda,ATG,2015,5955882.353,,,,
ARG2006,Argentina,ARG,2006,62373020.26,,,,
ARG2007,Argentina,ARG,2007,82935738.33,,,,
ARG2008,Argentina,ARG,2008,85546274.38,,,,
ARG2009,Argentina,ARG,2009,88544751.22,,,,
ARG2010,Argentina,ARG,2010,106167939.3,,,,
ARG2011,Argentina,ARG,2011,173662731.1,,,,
ARG2012,Argentina,ARG,2012,179007273,,,,
ARM2007,Armenia,ARM,2007,2476108,,,,
ARM2008,Armenia,ARM,2008,2604517.199,,,,
ARM2009,Armenia,ARM,2009,2301071.14,,,,
ARM2010,Armenia,ARM,2010,5052363.727,,,,
ARM2011,Armenia,ARM,2011,5587011.129,,,,
ARM2012,Armenia,ARM,2012,5338915.361,,,,
ARM2013,Armenia,ARM,2013,5006127.661,,,,
ARM2014,Armenia,ARM,2014,6816742.951,,,,
ARM2016,Armenia,ARM,2016,4222796.19,,,,
ABW2005,Aruba,ABW,2005,10000,,,,
ABW2006,Aruba,ABW,2006,10000,,,,
ABW2007,Aruba,ABW,2007,10000,,,,
AUS2006,Australia,AUS,2006,101415112,,,,
AZE2007,Azerbaijan,AZE,2007,2220238.125,,,,
AZE2008,Azerbaijan,AZE,2008,5012004,,,,
AZE2009,Azerbaijan,AZE,2009,6061650.29,,,,
AZE2010,Azerbaijan,AZE,2010,8236251.172,,,,
