ISOYEAR,country_name,ISO_code,dyear,total_knowledge_rate,,,,,
AFG2016,Afghanistan,AFG,2016,12.4,,,,,
ALB2016,Albania,ALB,2016,31.72,,,,,
AGO2016,Angola,AGO,2016,44.69,,,,,
ATG2016,Antigua and Barbuda,ATG,2016,85.67,,,,,
ARM2016,Armenia,ARM,2016,39.4,,,,,
AZE2016,Azerbaijan,AZE,2016,14.9,,,,,
BHS2016,Bahamas,BHS,2016,4.4,,,,,
BRB2016,Barbados,BRB,2016,46.3,,,,,
BLZ2016,Belize,BLZ,2016,76.4,,,,,
BEN2016,Benin,BEN,2016,25.92,,,,,
BTN2016,Bhutan,BTN,2016,23.2,,,,,
BOL2016,Bolivia,BOL,2016,23.66,,,,,
BWA2016,Botswana,BWA,2016,47.2,,,,,
BGR2016,Bulgaria,BGR,2016,18.8,,,,,
BFA2016,Burkina Faso,BFA,2016,32.35,,,,,
BDI2016,Burundi,BDI,2016,45.07,,,,,
KHM2016,Cambodia,KHM,2016,39.6,,,,,
CMR2016,Cameroon,CMR,2016,63.16,,,,,
TCD2016,Chad,TCD,2016,13.02,,,,,
COL2016,Colombia,COL,2016,30.2,,,,,
COM2016,Comoros,COM,2016,20.47,,,,,
COG2016,Congo,COG,2016,18.22,,,,,
CIV2016,Cote d'Ivoire,CIV,2016,18.42,,,,,
COD2016,Democratic Republic of Congo,COD,2016,20.4,,,,,
DJI2016,Djibouti,DJI,2016,11.3,,,,,
DOM2016,Dominican Republic,DOM,2016,42.8,,,,,
SLV2016,El Salvador,SLV,2016,36.5,,,,,
SWZ2016,Eswatini,SWZ,2016,55.96,,,,,
ETH2016,Ethiopia,ETH,2016,28.35,,,,,
GAB2016,Gabon,GAB,2016,31.98,,,,,
GMB2016,Gambia,GMB,2016,28.8,,,,,
GHA2016,Ghana,GHA,2016,22.2,,,,,
GTM2016,Guatemala,GTM,2016,22.12,,,,,
GIN2016,Guinea,GIN,2016,25.5,,,,,
GNB2016,Guinea-Bissau,GNB,2016,22.3,,,,,
GUY2016,Guyana,GUY,2016,51.02,,,,,
HTI2016,Haiti,HTI,2016,31.94,,,,,
HND2016,Honduras,HND,2016,33.4,,,,,
IND2016,India,IND,2016,25.67,,,,,
IDN2016,Indonesia,IDN,2016,11.37,,,,,
IRN2016,Iran,IRN,2016,18.27,,,,,
KEN2016,Kenya,KEN,2016,59.55,,,,,
KGZ2016,Kyrgyzstan,KGZ,2016,23.4,,,,,
LSO2016,Lesotho,LSO,2016,35.5,,,,,
LBR2016,Liberia,LBR,2016,33.5,,,,,
LTU2016,Lithuania,LTU,2016,70.7,,,,,
MDG2016,Madagascar,MDG,2016,24.1,,,,,
MWI2016,Malawi,MWI,2016,79.3,,,,,
MYS2016,Malaysia,MYS,2016,41.4,,,,,
MDV2016,Maldives,MDV,2016,35.49,,,,,
MLI2016,Mali,MLI,2016,26.1,,,,,
MRT2016,Mauritania,MRT,2016,57.8,,,,,
MUS2016,Mauritius,MUS,2016,31.8,,,,,
MAR2016,Morocco,MAR,2016,22.22,,,,,
MOZ2016,Mozambique,MOZ,2016,34.9,,,,,
MMR2016,Myanmar,MMR,2016,16.6,,,,,
NAM2016,Namibia,NAM,2016,58.3,,,,,
NPL2016,Nepal,NPL,2016,27.81,,,,,
NIC2016,Nicaragua,NIC,2016,16.01,,,,,
NER2016,Niger,NER,2016,21.5,,,,,
NGA2016,Nigeria,NGA,2016,24.4,,,,,
PAK2016,Pakistan,PAK,2016,4.3,,,,,
PER2016,Peru,PER,2016,75.3,,,,,
PHL2016,Philippines,PHL,2016,15.05,,,,,
RWA2016,Rwanda,RWA,2016,51,,,,,
STP2016,Sao Tome and Principe,STP,2016,43.08,,,,,
SEN2016,Senegal,SEN,2016,28.4,,,,,
SLE2016,Sierra Leone,SLE,2016,29.1,,,,,
ZAF2016,South Africa,ZAF,2016,45.8,,,,,
TJK2016,Tajikistan,TJK,2016,2.67,,,,,
TZA2016,Tanzania,TZA,2016,43.4,,,,,
TLS2016,Timor,TLS,2016,13.91,,,,,
TGO2016,Togo,TGO,2016,26.1,,,,,
TKM2016,Turkmenistan,TKM,2016,3.4,,,,,
UGA2016,Uganda,UGA,2016,38.4,,,,,
UKR2016,Ukraine,UKR,2016,23,,,,,
VNM2016,Vietnam,VNM,2016,46.21,,,,,
ZMB2016,Zambia,ZMB,2016,43.9,,,,,
ZWE2016,Zimbabwe,ZWE,2016,46.5,,,,,
